WaveNumber,StartTime,EnemyType,Count,Duration,Random,ArmorProbability,MinIntervalFactor,MaxIntervalFactor
1,0,mediumEnemy,20,60,TRUE,0,0.8,1.2
2,0,mediumEnemy,30,60,TRUE,0,0.9,1.1
2,30,bigEnemy,1,0,FALSE,0,1,1
3,15,bigEnemy,3,45,FALSE,0,1,1
3,0,mediumEnemy,30,60,TRUE,0.25,0.8,1.2
3,15,smallEnemy,8,4,TRUE,0,0.5,1.5
3,45,smallEnemy,8,4,TRUE,0,0.5,1.5
4,15,bigEnemy,4,45,FALSE,0,1,1
,,,,,,,,
5,10,bigEnemy,5,50,FALSE,0.5,1,1
4,0,mediumEnemy,45,60,TRUE,0.4,0.75,1.25
5,0,mediumEnemy,60,60,TRUE,0.6,0.9,1.1
4,20,smallEnemy,12,4,TRUE,0.5,0.75,1.25
4,40,smallEnemy,12,4,TRUE,0.5,0.75,1.25
5,12,smallEnemy,12,4,TRUE,0.7,0.75,1.25
5,24,smallEnemy,24,8,TRUE,0.7,0.75,1.25
5,48,smallEnemy,12,4,TRUE,0.7,0.75,1.25
